GSS_CODE,NAME,COUNT,price_ave,airbnb_annual_income,Code_x,Area,Year,Dwellings,Population,Persons_per_dwelling,Code_y,rent_income_sum
E09000001,City of London,146,160.8013698630137,1173850.0,E09000001,City of London,2016,6306.0,9401,1.5,E09000001,2428920.0
E09000002,Barking and Dagenham,6,94.5,28350.0,E09000002,Barking and Dagenham,2016,73914.0,206460,2.8,E09000002,8835960.0
E09000003,Barnet,77,93.4025974025974,359600.0,E09000003,Barnet,2016,146729.6455,386083,2.6,E09000003,57079800.0
E09000004,Bexley,11,63.45454545454545,34900.0,E09000004,Bexley,2016,96864.0,244760,2.5,E09000004,11810400.0
E09000005,Brent,240,82.51666666666667,990200.0,E09000005,Brent,2016,116649.0,328254,2.8,E09000005,51131520.0
E09000006,Bromley,46,97.58695652173913,224450.0,E09000006,Bromley,2016,137564.0,326889,2.4,E09000006,19955280.0
E09000007,Camden,1138,156.08435852372585,8881200.0,E09000007,Camden,2016,102618.0,246181,2.4,E09000007,95147400.0
E09000008,Croydon,59,82.83050847457628,244350.0,E09000008,Croydon,2016,154559.0,382304,2.5,E09000008,14546400.0
E09000009,Ealing,131,114.89312977099236,752550.0,E09000009,Ealing,2016,131249.0,343196,2.6,E09000009,40415760.0
E09000010,Enfield,29,98.65517241379312,143050.0,E09000010,Enfield,2016,124471.0,331395,2.7,E09000010,27367200.0
E09000011,Greenwich,155,109.29032258064515,847000.0,E09000011,Greenwich,2016,108603.0,279766,2.6,E09000011,22223520.0
E09000012,Hackney,1170,119.95128205128204,7017150.0,E09000012,Hackney,2016,107573.6019,273526,2.5,E09000012,35530920.0
E09000013,Hammersmith and Fulham,860,140.3139534883721,6033500.000000001,E09000013,Hammersmith and Fulham,2016,85635.0,179654,2.1,E09000013,25800480.0
E09000014,Haringey,122,92.5327868852459,564450.0,E09000014,Haringey,2016,106879.0,278451,2.6,E09000014,42217560.0
E09000015,Harrow,44,69.45454545454545,152800.0,E09000015,Harrow,2016,89324.0,248752,2.8,E09000015,36003600.0
E09000016,Havering,4,113.0,22600.0,E09000016,Havering,2016,101273.0,252783,2.5,E09000016,8750040.0
E09000017,Hillingdon,24,86.25,103500.0,E09000017,Hillingdon,2016,108171.0,302471,2.8,E09000017,19915920.0
E09000018,Hounslow,124,145.45967741935485,901850.0,E09000018,Hounslow,2016,99267.0,271139,2.7,E09000018,37227960.0
E09000019,Islington,1004,130.60458167330677,6556350.0,E09000019,Islington,2016,101783.0,232865,2.3,E09000019,68478480.0
E09000020,Kensington and Chelsea,1586,171.97162673392182,13637350.0,E09000020,Kensington and Chelsea,2016,86921.0,156726,1.8,E09000020,79860600.0
E09000021,Kingston upon Thames,48,121.54166666666669,291700.0,E09000021,Kingston upon Thames,2016,66651.0,176107,2.6,E09000021,35220720.0
E09000022,Lambeth,712,125.8876404494382,4481600.0,E09000022,Lambeth,2016,137610.0,327910,2.4,E09000022,50497200.0
E09000023,Lewisham,218,109.14678899082568,1189700.0,E09000023,Lewisham,2016,124357.0,301867,2.4,E09000023,27721440.0
E09000024,Merton,101,133.36633663366337,673500.0,E09000024,Merton,2016,83215.0,205029,2.5,E09000024,24960000.0
E09000025,Newham,193,111.19689119170984,1073050.0,E09000025,Newham,2016,110251.0,340978,3.1,E09000025,25228800.0
E09000026,Redbridge,38,106.8157894736842,202950.0,E09000026,Redbridge,2016,102707.0,299249,2.9,E09000026,21150360.0
E09000027,Richmond upon Thames,147,143.51700680272108,1054850.0,E09000027,Richmond upon Thames,2016,84294.0,195846,2.3,E09000027,65722080.0
E09000028,Southwark,721,132.5131761442441,4777100.0,E09000028,Southwark,2016,129740.0,313223,2.4,E09000028,51840000.0
E09000029,Sutton,8,92.5,37000.0,E09000029,Sutton,2016,81628.0,202220,2.5,E09000029,10876680.0
E09000030,Tower Hamlets,1273,123.8483896307934,7882950.0,E09000030,Tower Hamlets,2016,113185.1293,304854,2.7,E09000030,50534280.0
E09000031,Waltham Forest,89,89.29213483146067,397350.0,E09000031,Waltham Forest,2016,101284.0,275843,2.7,E09000031,21697200.0
E09000032,Wandsworth,568,135.06690140845072,3835900.000000001,E09000032,Wandsworth,2016,141579.0,316096,2.2,E09000032,69364080.0
E09000033,Westminster,2314,177.37208297320657,20521950.0,E09000033,Westminster,2016,122024.0,247614,2.0,E09000033,142597440.0
